UR #	ILLOC	SR	
1632	DEC	Adv O1 Verb Not Aux S                             	
1634	DEC	Adv O2 O1 Verb Not Aux S                          	
1636	DEC	Adv O3 P O1 Verb Not Aux S                        	
1638	DEC	Adv O3 P O2 O1 Verb Not Aux S                     	
1640	DEC	Adv O3 P Verb Not Aux S                           	
1642	DEC	Adv Verb Not Aux S                                	
1644	DEC	Adv O1 Verb Never Aux S                           	
1646	DEC	Adv O2 O1 Verb Never Aux S                        	
1648	DEC	Adv O3 P O1 Verb Never Aux S                      	
1650	DEC	Adv O3 P O2 O1 Verb Never Aux S                   	
1652	DEC	Adv O3 P Verb Never Aux S                         	
1654	DEC	Adv Verb Never Aux S                              	
1704	DEC	Adv O1 Verb Aux S                                 	
1706	DEC	Adv O2 O1 Verb Aux S                              	
1708	DEC	Adv O3 P O1 Verb Aux S                            	
1710	DEC	Adv O3 P O2 O1 Verb Aux S                         	
1712	DEC	Adv O3 P Verb Aux S                               	
1714	DEC	Adv Verb Aux S                                    	
5536	DEC	O1 Adv Verb Not Aux S                             	
5538	DEC	O1 Adv O2 Verb Not Aux S                          	
5540	DEC	O1 Adv O3 P Verb Not Aux S                        	
5542	DEC	O1 Adv O3 P O2 Verb Not Aux S                     	
5544	DEC	O1 Verb Not Aux S                                 	
5546	DEC	O1 O2 Verb Not Aux S                              	
5548	DEC	O1 O3 P Verb Not Aux S                            	
5550	DEC	O1 O3 P O2 Verb Not Aux S                         	
5552	DEC	O1 Adv Verb Never Aux S                           	
5554	DEC	O1 Adv O2 Verb Never Aux S                        	
5556	DEC	O1 Adv O3 P Verb Never Aux S                      	
5558	DEC	O1 Adv O3 P O2 Verb Never Aux S                   	
5560	DEC	O1 Verb Never Aux S                               	
5562	DEC	O1 O2 Verb Never Aux S                            	
5564	DEC	O1 O3 P Verb Never Aux S                          	
5566	DEC	O1 O3 P O2 Verb Never Aux S                       	
5632	DEC	O1 Adv Verb Aux S                                 	
5634	DEC	O1 Adv O2 Verb Aux S                              	
5636	DEC	O1 Adv O3 P Verb Aux S                            	
5638	DEC	O1 Adv O3 P O2 Verb Aux S                         	
5640	DEC	O1 Verb Aux S                                     	
5642	DEC	O1 O2 Verb Aux S                                  	
5644	DEC	O1 O3 P Verb Aux S                                	
5646	DEC	O1 O3 P O2 Verb Aux S                             	
8928	DEC	O2 Adv O1 Verb Not Aux S                          	
8930	DEC	O2 Adv O3 P O1 Verb Not Aux S                     	
