UR #	ILLOC	SR	
0:	Q  	Aux S Never Verb                                  	
1:	Q  	Aux S Never Verb O1                               	
2:	Q  	Aux S Never Verb O1 O2                            	
3:	Q  	Aux S Never Verb O1 O2 P O3                       	
4:	Q  	Aux S Never Verb O1 P O3                          	
5:	Q  	Aux S Never Verb P O3                             	
6:	Q  	Aux S Not Verb                                    	
7:	Q  	Aux S Not Verb O1                                 	
8:	Q  	Aux S Not Verb O1 O2                              	
9:	Q  	Aux S Not Verb O1 O2 P O3                         	
10:	Q  	Aux S Not Verb O1 P O3                            	
11:	Q  	Aux S Not Verb P O3                               	
12:	Q  	Aux S Verb                                        	
13:	Q  	Aux S Verb O1                                     	
14:	Q  	Aux S Verb O1 O2                                  	
15:	Q  	Aux S Verb O1 O2 P O3                             	
16:	Q  	Aux S Verb O1 P O3                                	
17:	Q  	Aux S Verb P O3                                   	
672:	DEC	Adv Aux S Never Verb                              	
673:	DEC	Adv Aux S Never Verb O1                           	
674:	DEC	Adv Aux S Never Verb O1 O2                        	
675:	DEC	Adv Aux S Never Verb O1 O2 P O3                   	
676:	DEC	Adv Aux S Never Verb O1 P O3                      	
677:	DEC	Adv Aux S Never Verb P O3                         	
678:	DEC	Adv Aux S Not Verb                                	
679:	DEC	Adv Aux S Not Verb O1                             	
680:	DEC	Adv Aux S Not Verb O1 O2                          	
681:	DEC	Adv Aux S Not Verb O1 O2 P O3                     	
682:	DEC	Adv Aux S Not Verb O1 P O3                        	
683:	DEC	Adv Aux S Not Verb P O3                           	
684:	DEC	Adv Aux S Verb                                    	
685:	DEC	Adv Aux S Verb O1                                 	
686:	DEC	Adv Aux S Verb O1 O2                              	
687:	DEC	Adv Aux S Verb O1 O2 P O3                         	
688:	DEC	Adv Aux S Verb O1 P O3                            	
689:	DEC	Adv Aux S Verb P O3                               	
3360:	Q  	Aux S Never Verb Adv                              	
3361:	DEC	Aux S Never Verb O2 Adv                           	
3362:	DEC	Aux S Never Verb O2 P O3 Adv                      	
3363:	DEC	Aux S Never Verb O2 P O3                          	
3364:	DEC	Aux S Never Verb O2                               	
3365:	Q  	Aux S Never Verb P O3 Adv                         	
3366:	Q  	Aux S Never Verb P O3                             	
3367:	Q  	Aux S Never Verb                                  	
3368:	Q  	Aux S Not Verb Adv                                	
3369:	DEC	Aux S Not Verb O2 Adv                             	
3370:	DEC	Aux S Not Verb O2 P O3 Adv                        	
3371:	DEC	Aux S Not Verb O2 P O3                            	
3372:	DEC	Aux S Not Verb O2                                 	
3373:	Q  	Aux S Not Verb P O3 Adv                           	
3374:	Q  	Aux S Not Verb P O3                               	
3375:	Q  	Aux S Not Verb                                    	
3376:	Q  	Aux S Verb Adv                                    	
3377:	DEC	Aux S Verb O2 Adv                                 	
3378:	DEC	Aux S Verb O2 P O3 Adv                            	
3379:	DEC	Aux S Verb O2 P O3                                	
3380:	DEC	Aux S Verb O2                                     	
3381:	Q  	Aux S Verb P O3 Adv                               	
3382:	Q  	Aux S Verb P O3                                   	
3383:	Q  	Aux S Verb                                        	
4256:	DEC	O1 Aux S Never Verb Adv                           	
4257:	DEC	O1 Aux S Never Verb O2 Adv                        	
4258:	DEC	O1 Aux S Never Verb O2 P O3 Adv                   	
4259:	DEC	O1 Aux S Never Verb O2 P O3                       	
4260:	DEC	O1 Aux S Never Verb O2                            	
4261:	DEC	O1 Aux S Never Verb P O3 Adv                      	
4262:	DEC	O1 Aux S Never Verb P O3                          	
4263:	DEC	O1 Aux S Never Verb                               	
4264:	DEC	O1 Aux S Not Verb Adv                             	
4265:	DEC	O1 Aux S Not Verb O2 Adv                          	
4266:	DEC	O1 Aux S Not Verb O2 P O3 Adv                     	
4267:	DEC	O1 Aux S Not Verb O2 P O3                         	
4268:	DEC	O1 Aux S Not Verb O2                              	
4269:	DEC	O1 Aux S Not Verb P O3 Adv                        	
4270:	DEC	O1 Aux S Not Verb P O3                            	
4271:	DEC	O1 Aux S Not Verb                                 	
4272:	DEC	O1 Aux S Verb Adv                                 	
