UR #	ILLOC	SR	
744	DEC	Adv Aux Never Verb S                              	
746	DEC	Adv Aux Never Verb O1 S                           	
748	DEC	Adv Aux Never Verb O1 O2 S                        	
750	DEC	Adv Aux Never Verb O1 O2 P O3 S                   	
752	DEC	Adv Aux Never Verb O1 P O3 S                      	
754	DEC	Adv Aux Never Verb P O3 S                         	
756	DEC	Adv Aux Not Verb S                                	
758	DEC	Adv Aux Not Verb O1 S                             	
760	DEC	Adv Aux Not Verb O1 O2 S                          	
762	DEC	Adv Aux Not Verb O1 O2 P O3 S                     	
764	DEC	Adv Aux Not Verb O1 P O3 S                        	
766	DEC	Adv Aux Not Verb P O3 S                           	
768	DEC	Adv Aux Verb S                                    	
770	DEC	Adv Aux Verb O1 S                                 	
772	DEC	Adv Aux Verb O1 O2 S                              	
774	DEC	Adv Aux Verb O1 O2 P O3 S                         	
776	DEC	Adv Aux Verb O1 P O3 S                            	
778	DEC	Adv Aux Verb P O3 S                               	
4352	DEC	O1 Aux Never Verb Adv S                           	
4354	DEC	O1 Aux Never Verb O2 Adv S                        	
4356	DEC	O1 Aux Never Verb O2 P O3 Adv S                   	
4358	DEC	O1 Aux Never Verb O2 P O3 S                       	
4360	DEC	O1 Aux Never Verb O2 S                            	
4362	DEC	O1 Aux Never Verb P O3 Adv S                      	
4364	DEC	O1 Aux Never Verb P O3 S                          	
4366	DEC	O1 Aux Never Verb S                               	
4368	DEC	O1 Aux Not Verb Adv S                             	
4370	DEC	O1 Aux Not Verb O2 Adv S                          	
4372	DEC	O1 Aux Not Verb O2 P O3 Adv S                     	
4374	DEC	O1 Aux Not Verb O2 P O3 S                         	
4376	DEC	O1 Aux Not Verb O2 S                              	
4378	DEC	O1 Aux Not Verb P O3 Adv S                        	
4380	DEC	O1 Aux Not Verb P O3 S                            	
4382	DEC	O1 Aux Not Verb S                                 	
4384	DEC	O1 Aux Verb Adv S                                 	
4386	DEC	O1 Aux Verb O2 Adv S                              	
4388	DEC	O1 Aux Verb O2 P O3 Adv S                         	
4390	DEC	O1 Aux Verb O2 P O3 S                             	
4392	DEC	O1 Aux Verb O2 S                                  	
4394	DEC	O1 Aux Verb P O3 Adv S                            	
4396	DEC	O1 Aux Verb P O3 S                                	
4398	DEC	O1 Aux Verb S                                     	
8336	DEC	O2 Aux Never Verb O1 Adv S                        	
8338	DEC	O2 Aux Never Verb O1 P O3 Adv S                   	
8340	DEC	O2 Aux Never Verb O1 P O3 S                       	
8342	DEC	O2 Aux Never Verb O1 S                            	
8344	DEC	O2 Aux Not Verb O1 Adv S                          	
8346	DEC	O2 Aux Not Verb O1 P O3 Adv S                     	
8348	DEC	O2 Aux Not Verb O1 P O3 S                         	
