UR #	ILLOC	SR	
0:	Q  	Aux S Never Verb                                  	
1:	Q  	Aux S Never Verb O1                               	
2:	Q  	Aux S Never Verb O1 O2                            	
3:	Q  	Aux S Never Verb O1 O2 P O3                       	
4:	Q  	Aux S Never Verb O1 P O3                          	
5:	Q  	Aux S Never Verb P O3                             	
6:	Q  	Aux S Not Verb                                    	
7:	Q  	Aux S Not Verb O1                                 	
8:	Q  	Aux S Not Verb O1 O2                              	
9:	Q  	Aux S Not Verb O1 O2 P O3                         	
10:	Q  	Aux S Not Verb O1 P O3                            	
11:	Q  	Aux S Not Verb P O3                               	
12:	Q  	Aux S Verb                                        	
13:	Q  	Aux S Verb O1                                     	
14:	Q  	Aux S Verb O1 O2                                  	
15:	Q  	Aux S Verb O1 O2 P O3                             	
16:	Q  	Aux S Verb O1 P O3                                	
17:	Q  	Aux S Verb P O3                                   	
264:	Q  	Verb S Never                                      	
265:	Q  	Verb S Never O1                                   	
266:	Q  	Verb S Never O1 O2                                	
267:	Q  	Verb S Never O1 O2 P O3                           	
268:	Q  	Verb S Never O1 P O3                              	
269:	Q  	Verb S Never P O3                                 	
270:	Q  	Verb S Not                                        	
271:	Q  	Verb S Not O1                                     	
272:	Q  	Verb S Not O1 O2                                  	
273:	Q  	Verb S Not O1 O2 P O3                             	
274:	Q  	Verb S Not O1 P O3                                	
275:	Q  	Verb S Not P O3                                   	
276:	Q  	Verb S                                            	
277:	Q  	Verb S O1                                         	
278:	Q  	Verb S O1 O2                                      	
279:	Q  	Verb S O1 O2 P O3                                 	
280:	Q  	Verb S O1 P O3                                    	
281:	Q  	Verb S P O3                                       	
672:	DEC	Adv Aux S Never Verb                              	
673:	DEC	Adv Aux S Never Verb O1                           	
674:	DEC	Adv Aux S Never Verb O1 O2                        	
675:	DEC	Adv Aux S Never Verb O1 O2 P O3                   	
676:	DEC	Adv Aux S Never Verb O1 P O3                      	
677:	DEC	Adv Aux S Never Verb P O3                         	
678:	DEC	Adv Aux S Not Verb                                	
679:	DEC	Adv Aux S Not Verb O1                             	
680:	DEC	Adv Aux S Not Verb O1 O2                          	
681:	DEC	Adv Aux S Not Verb O1 O2 P O3                     	
682:	DEC	Adv Aux S Not Verb O1 P O3                        	
683:	DEC	Adv Aux S Not Verb P O3                           	
684:	DEC	Adv Aux S Verb                                    	
685:	DEC	Adv Aux S Verb O1                                 	
686:	DEC	Adv Aux S Verb O1 O2                              	
687:	DEC	Adv Aux S Verb O1 O2 P O3                         	
688:	DEC	Adv Aux S Verb O1 P O3                            	
689:	DEC	Adv Aux S Verb P O3                               	
1200:	DEC	Adv Verb S Never                                  	
1201:	DEC	Adv Verb S Never O1                               	
1202:	DEC	Adv Verb S Never O1 O2                            	
1203:	DEC	Adv Verb S Never O1 O2 P O3                       	
1204:	DEC	Adv Verb S Never O1 P O3                          	
1205:	DEC	Adv Verb S Never P O3                             	
1206:	DEC	Adv Verb S Not                                    	
1207:	DEC	Adv Verb S Not O1                                 	
1208:	DEC	Adv Verb S Not O1 O2                              	
1209:	DEC	Adv Verb S Not O1 O2 P O3                         	
1210:	DEC	Adv Verb S Not O1 P O3                            	
1211:	DEC	Adv Verb S Not P O3                               	
1212:	DEC	Adv Verb S                                        	
1213:	DEC	Adv Verb S O1                                     	
1214:	DEC	Adv Verb S O1 O2                                  	
1215:	DEC	Adv Verb S O1 O2 P O3                             	
1216:	DEC	Adv Verb S O1 P O3                                	
1217:	DEC	Adv Verb S P O3                                   	
3360:	Q  	Aux S Never Verb Adv                              	
3361:	DEC	Aux S Never Verb O2 Adv                           	
3362:	DEC	Aux S Never Verb O2 P O3 Adv                      	
3363:	DEC	Aux S Never Verb O2 P O3                          	
3364:	DEC	Aux S Never Verb O2                               	
3365:	Q  	Aux S Never Verb P O3 Adv                         	
3366:	Q  	Aux S Never Verb P O3                             	
3367:	Q  	Aux S Never Verb                                  	
3368:	Q  	Aux S Not Verb Adv                                	
3369:	DEC	Aux S Not Verb O2 Adv                             	
