BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
3180	DEC	Adv[+WA] O1 Verb Not S Aux                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3182	DEC	Adv[+WA] O2 O1 Verb Not S Aux                     	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O2""O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3184	DEC	Adv[+WA] O3 P O1 Verb Not S Aux                   	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3186	DEC	Adv[+WA] O3 P O2 O1 Verb Not S Aux                	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3188	DEC	Adv[+WA] O3 P Verb Not S Aux                      	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3190	DEC	Adv[+WA] Verb Not S Aux                           	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3192	DEC	Adv[+WA] O1 Verb Never S Aux                      	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3194	DEC	Adv[+WA] O2 O1 Verb Never S Aux                   	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O2""O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3196	DEC	Adv[+WA] O3 P O1 Verb Never S Aux                 	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
3198	DEC	Adv[+WA] O3 P O2 O1 Verb Never S Aux              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]"))"S")(C[ILLOC DEC][+FIN]"Aux[+FIN]")))       7252	
