UR #	ILLOC	SR	
816	DEC	Adv S Aux Never Verb                              	
817	DEC	Adv S Aux Never Verb O1                           	
818	DEC	Adv S Aux Never Verb O1 O2                        	
819	DEC	Adv S Aux Never Verb O1 O2 P O3                   	
820	DEC	Adv S Aux Never Verb O1 P O3                      	
821	DEC	Adv S Aux Never Verb P O3                         	
822	DEC	Adv S Aux Not Verb                                	
823	DEC	Adv S Aux Not Verb O1                             	
824	DEC	Adv S Aux Not Verb O1 O2                          	
825	DEC	Adv S Aux Not Verb O1 O2 P O3                     	
826	DEC	Adv S Aux Not Verb O1 P O3                        	
827	DEC	Adv S Aux Not Verb P O3                           	
828	DEC	Adv S Aux Verb                                    	
829	DEC	Adv S Aux Verb O1                                 	
830	DEC	Adv S Aux Verb O1 O2                              	
831	DEC	Adv S Aux Verb O1 O2 P O3                         	
832	DEC	Adv S Aux Verb O1 P O3                            	
833	DEC	Adv S Aux Verb P O3                               	
834	DEC	Adv S Verb Never                                  	
835	DEC	Adv S Verb Never O1                               	
836	DEC	Adv S Verb Never O1 O2                            	
837	DEC	Adv S Verb Never O1 O2 P O3                       	
838	DEC	Adv S Verb Never O1 P O3                          	
839	DEC	Adv S Verb Never P O3                             	
840	DEC	Adv S Verb Not                                    	
841	DEC	Adv S Verb Not O1                                 	
842	DEC	Adv S Verb Not O1 O2                              	
843	DEC	Adv S Verb Not O1 O2 P O3                         	
844	DEC	Adv S Verb Not O1 P O3                            	
845	DEC	Adv S Verb Not P O3                               	
846	DEC	Adv S Verb                                        	
847	DEC	Adv S Verb O1                                     	
848	DEC	Adv S Verb O1 O2                                  	
849	DEC	Adv S Verb O1 O2 P O3                             	
850	DEC	Adv S Verb O1 P O3                                	
851	DEC	Adv S Verb P O3                                   	
4448	DEC	O1 S Aux Never Verb Adv                           	
4449	DEC	O1 S Aux Never Verb O2 Adv                        	
4450	DEC	O1 S Aux Never Verb O2 P O3 Adv                   	
4451	DEC	O1 S Aux Never Verb O2 P O3                       	
4452	DEC	O1 S Aux Never Verb O2                            	
4453	DEC	O1 S Aux Never Verb P O3 Adv                      	
4454	DEC	O1 S Aux Never Verb P O3                          	
4455	DEC	O1 S Aux Never Verb                               	
4456	DEC	O1 S Aux Not Verb Adv                             	
4457	DEC	O1 S Aux Not Verb O2 Adv                          	
4458	DEC	O1 S Aux Not Verb O2 P O3 Adv                     	
4459	DEC	O1 S Aux Not Verb O2 P O3                         	
4460	DEC	O1 S Aux Not Verb O2                              	
4461	DEC	O1 S Aux Not Verb P O3 Adv                        	
4462	DEC	O1 S Aux Not Verb P O3                            	
4463	DEC	O1 S Aux Not Verb                                 	
4464	DEC	O1 S Aux Verb Adv                                 	
4465	DEC	O1 S Aux Verb O2 Adv                              	
4466	DEC	O1 S Aux Verb O2 P O3 Adv                         	
4467	DEC	O1 S Aux Verb O2 P O3                             	
4468	DEC	O1 S Aux Verb O2                                  	
4469	DEC	O1 S Aux Verb P O3 Adv                            	
4470	DEC	O1 S Aux Verb P O3                                	
4471	DEC	O1 S Aux Verb                                     	
4472	DEC	O1 S Verb Never Adv                               	
4473	DEC	O1 S Verb Never O2 Adv                            	
4474	DEC	O1 S Verb Never O2 P O3 Adv                       	
4475	DEC	O1 S Verb Never O2 P O3                           	
4476	DEC	O1 S Verb Never O2                                	
4477	DEC	O1 S Verb Never P O3 Adv                          	
4478	DEC	O1 S Verb Never P O3                              	
4479	DEC	O1 S Verb Never                                   	
4480	DEC	O1 S Verb Not Adv                                 	
4481	DEC	O1 S Verb Not O2 Adv                              	
4482	DEC	O1 S Verb Not O2 P O3 Adv                         	
4483	DEC	O1 S Verb Not O2 P O3                             	
4484	DEC	O1 S Verb Not O2                                  	
4485	DEC	O1 S Verb Not P O3 Adv                            	
4486	DEC	O1 S Verb Not P O3                                	
4487	DEC	O1 S Verb Not                                     	
4488	DEC	O1 S Verb Adv                                     	
4489	DEC	O1 S Verb O2 Adv                                  	
4490	DEC	O1 S Verb O2 P O3 Adv                             	
4491	DEC	O1 S Verb O2 P O3                                 	
4492	DEC	O1 S Verb O2                                      	
4493	DEC	O1 S Verb P O3 Adv                                	
