UR #	ILLOC	SR	
36:	Q  	Aux Never Verb S                                  	
37:	Q  	Aux Never Verb O1 S                               	
38:	Q  	Aux Never Verb O1 O2 S                            	
39:	Q  	Aux Never Verb O1 O2 P O3 S                       	
40:	Q  	Aux Never Verb O1 P O3 S                          	
41:	Q  	Aux Never Verb P O3 S                             	
42:	Q  	Aux Not Verb S                                    	
43:	Q  	Aux Not Verb O1 S                                 	
44:	Q  	Aux Not Verb O1 O2 S                              	
45:	Q  	Aux Not Verb O1 O2 P O3 S                         	
46:	Q  	Aux Not Verb O1 P O3 S                            	
47:	Q  	Aux Not Verb P O3 S                               	
48:	Q  	Aux Verb S                                        	
49:	Q  	Aux Verb O1 S                                     	
50:	Q  	Aux Verb O1 O2 S                                  	
51:	Q  	Aux Verb O1 O2 P O3 S                             	
52:	Q  	Aux Verb O1 P O3 S                                	
53:	Q  	Aux Verb P O3 S                                   	
744:	DEC	Adv Aux Never Verb S                              	
746:	DEC	Adv Aux Never Verb O1 S                           	
748:	DEC	Adv Aux Never Verb O1 O2 S                        	
750:	DEC	Adv Aux Never Verb O1 O2 P O3 S                   	
752:	DEC	Adv Aux Never Verb O1 P O3 S                      	
754:	DEC	Adv Aux Never Verb P O3 S                         	
756:	DEC	Adv Aux Not Verb S                                	
758:	DEC	Adv Aux Not Verb O1 S                             	
760:	DEC	Adv Aux Not Verb O1 O2 S                          	
762:	DEC	Adv Aux Not Verb O1 O2 P O3 S                     	
764:	DEC	Adv Aux Not Verb O1 P O3 S                        	
766:	DEC	Adv Aux Not Verb P O3 S                           	
768:	DEC	Adv Aux Verb S                                    	
770:	DEC	Adv Aux Verb O1 S                                 	
772:	DEC	Adv Aux Verb O1 O2 S                              	
774:	DEC	Adv Aux Verb O1 O2 P O3 S                         	
776:	DEC	Adv Aux Verb O1 P O3 S                            	
778:	DEC	Adv Aux Verb P O3 S                               	
3408:	Q  	Aux Never Verb Adv S                              	
3409:	DEC	Aux Never Verb O2 Adv S                           	
3410:	DEC	Aux Never Verb O2 P O3 Adv S                      	
3411:	DEC	Aux Never Verb O2 P O3 S                          	
3412:	DEC	Aux Never Verb O2 S                               	
3413:	Q  	Aux Never Verb P O3 Adv S                         	
3414:	Q  	Aux Never Verb P O3 S                             	
3415:	Q  	Aux Never Verb S                                  	
3416:	Q  	Aux Not Verb Adv S                                	
3417:	DEC	Aux Not Verb O2 Adv S                             	
3418:	DEC	Aux Not Verb O2 P O3 Adv S                        	
3419:	DEC	Aux Not Verb O2 P O3 S                            	
3420:	DEC	Aux Not Verb O2 S                                 	
3421:	Q  	Aux Not Verb P O3 Adv S                           	
3422:	Q  	Aux Not Verb P O3 S                               	
3423:	Q  	Aux Not Verb S                                    	
3424:	Q  	Aux Verb Adv S                                    	
3425:	DEC	Aux Verb O2 Adv S                                 	
3426:	DEC	Aux Verb O2 P O3 Adv S                            	
3427:	DEC	Aux Verb O2 P O3 S                                	
3428:	DEC	Aux Verb O2 S                                     	
3429:	Q  	Aux Verb P O3 Adv S                               	
3430:	Q  	Aux Verb P O3 S                                   	
3431:	Q  	Aux Verb S                                        	
4352:	DEC	O1 Aux Never Verb Adv S                           	
4354:	DEC	O1 Aux Never Verb O2 Adv S                        	
4356:	DEC	O1 Aux Never Verb O2 P O3 Adv S                   	
