UR #	ILLOC	SR	
816	DEC	Adv S Aux Never Verb                              	
817	DEC	Adv S Aux Never Verb O1                           	
818	DEC	Adv S Aux Never Verb O1 O2                        	
819	DEC	Adv S Aux Never Verb O1 O2 P O3                   	
820	DEC	Adv S Aux Never Verb O1 P O3                      	
821	DEC	Adv S Aux Never Verb P O3                         	
822	DEC	Adv S Aux Not Verb                                	
823	DEC	Adv S Aux Not Verb O1                             	
824	DEC	Adv S Aux Not Verb O1 O2                          	
825	DEC	Adv S Aux Not Verb O1 O2 P O3                     	
826	DEC	Adv S Aux Not Verb O1 P O3                        	
827	DEC	Adv S Aux Not Verb P O3                           	
828	DEC	Adv S Aux Verb                                    	
829	DEC	Adv S Aux Verb O1                                 	
830	DEC	Adv S Aux Verb O1 O2                              	
831	DEC	Adv S Aux Verb O1 O2 P O3                         	
832	DEC	Adv S Aux Verb O1 P O3                            	
833	DEC	Adv S Aux Verb P O3                               	
4448	DEC	O1 S Aux Never Verb Adv                           	
4449	DEC	O1 S Aux Never Verb O2 Adv                        	
4450	DEC	O1 S Aux Never Verb O2 P O3 Adv                   	
4451	DEC	O1 S Aux Never Verb O2 P O3                       	
4452	DEC	O1 S Aux Never Verb O2                            	
4453	DEC	O1 S Aux Never Verb P O3 Adv                      	
4454	DEC	O1 S Aux Never Verb P O3                          	
4455	DEC	O1 S Aux Never Verb                               	
4456	DEC	O1 S Aux Not Verb Adv                             	
4457	DEC	O1 S Aux Not Verb O2 Adv                          	
4458	DEC	O1 S Aux Not Verb O2 P O3 Adv                     	
4459	DEC	O1 S Aux Not Verb O2 P O3                         	
4460	DEC	O1 S Aux Not Verb O2                              	
4461	DEC	O1 S Aux Not Verb P O3 Adv                        	
4462	DEC	O1 S Aux Not Verb P O3                            	
4463	DEC	O1 S Aux Not Verb                                 	
4464	DEC	O1 S Aux Verb Adv                                 	
4465	DEC	O1 S Aux Verb O2 Adv                              	
4466	DEC	O1 S Aux Verb O2 P O3 Adv                         	
4467	DEC	O1 S Aux Verb O2 P O3                             	
4468	DEC	O1 S Aux Verb O2                                  	
4469	DEC	O1 S Aux Verb P O3 Adv                            	
4470	DEC	O1 S Aux Verb P O3                                	
4471	DEC	O1 S Aux Verb                                     	
8384	DEC	O2 S Aux Never Verb O1 Adv                        	
8385	DEC	O2 S Aux Never Verb O1 P O3 Adv                   	
8386	DEC	O2 S Aux Never Verb O1 P O3                       	
8387	DEC	O2 S Aux Never Verb O1                            	
8388	DEC	O2 S Aux Not Verb O1 Adv                          	
8389	DEC	O2 S Aux Not Verb O1 P O3 Adv                     	
8390	DEC	O2 S Aux Not Verb O1 P O3                         	
8391	DEC	O2 S Aux Not Verb O1                              	
8392	DEC	O2 S Aux Verb O1 Adv                              	
8393	DEC	O2 S Aux Verb O1 P O3 Adv                         	
8394	DEC	O2 S Aux Verb O1 P O3                             	
8395	DEC	O2 S Aux Verb O1                                  	
10896	DEC	O3 S Aux Never Verb O1 O2 P Adv                   	
10897	DEC	O3 S Aux Never Verb O1 O2 P                       	
10898	DEC	O3 S Aux Never Verb O1 P Adv                      	
10899	DEC	O3 S Aux Never Verb O1 P                          	
10900	DEC	O3 S Aux Never Verb P Adv                         	
10901	DEC	O3 S Aux Never Verb P                             	
10902	DEC	O3 S Aux Not Verb O1 O2 P Adv                     	
10903	DEC	O3 S Aux Not Verb O1 O2 P                         	
10904	DEC	O3 S Aux Not Verb O1 P Adv                        	
10905	DEC	O3 S Aux Not Verb O1 P                            	
10906	DEC	O3 S Aux Not Verb P Adv                           	
10907	DEC	O3 S Aux Not Verb P                               	
10908	DEC	O3 S Aux Verb O1 O2 P Adv                         	
10909	DEC	O3 S Aux Verb O1 O2 P                             	
10910	DEC	O3 S Aux Verb O1 P Adv                            	
10911	DEC	O3 S Aux Verb O1 P                                	
10912	DEC	O3 S Aux Verb P Adv                               	
10913	DEC	O3 S Aux Verb P                                   	
15596	DEC	S Aux Never Verb Adv                              	
15597	DEC	S Aux Never Verb O1 Adv                           	
15598	DEC	S Aux Never Verb O1 O2 Adv                        	
15599	DEC	S Aux Never Verb O1 O2 P O3 Adv                   	
